Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	0.0000	0.0000	infinite	12.131	14.609	-1.0000e+07	27.388	35.703	448.70	undefined	11.058	0.033863	vapor
298.00	15.000	0.62984	1.5877	11.955	14.368	83.993	27.635	37.192	444.10	0.78379	11.279	0.034911	vapor
298.00	30.000	1.2934	0.77318	11.773	14.123	77.622	27.884	38.861	440.43	0.76334	11.557	0.036099	vapor
298.00	45.000	1.9912	0.50220	11.584	13.874	73.628	28.134	40.716	437.91	0.73799	11.899	0.037475	vapor
298.00	60.000	2.7228	0.36727	11.390	13.623	70.600	28.380	42.744	436.82	0.70713	12.312	0.039068	vapor
298.00	60.000	2.7228	0.36727	11.390	13.623	70.600	28.380	42.744	436.82	0.70713	12.312	0.039068	supercritical
298.00	60.000	2.7228	0.36727	11.390	13.623	70.600	28.380	42.744	436.82	0.70713	12.312	0.039068	supercritical
298.00	75.000	3.4856	0.28689	11.191	13.371	68.103	28.617	44.910	437.44	0.67053	12.800	0.040900	supercritical
298.00	90.000	4.2747	0.23393	10.989	13.122	65.947	28.839	47.150	440.07	0.62852	13.367	0.042982	supercritical
298.00	105.00	5.0822	0.19676	10.785	12.878	64.037	29.041	49.371	444.95	0.58203	14.011	0.045302	supercritical
298.00	120.00	5.8979	0.16955	10.583	12.644	62.320	29.220	51.462	452.24	0.53251	14.729	0.047826	supercritical
298.00	135.00	6.7097	0.14904	10.384	12.423	60.767	29.374	53.317	462.00	0.48165	15.511	0.050493	supercritical
298.00	150.00	7.5052	0.13324	10.192	12.217	59.359	29.502	54.848	474.13	0.43119	16.347	0.053233	supercritical
298.00	165.00	8.2733	0.12087	10.008	12.029	58.081	29.608	56.008	488.41	0.38259	17.221	0.055974	supercritical
298.00	180.00	9.0053	0.11105	9.8348	11.860	56.924	29.693	56.798	504.53	0.33701	18.119	0.058661	supercritical
298.00	195.00	9.6958	0.10314	9.6722	11.710	55.874	29.763	57.254	522.11	0.29515	19.028	0.061257	supercritical
298.00	210.00	10.342	0.096693	9.5207	11.578	54.923	29.820	57.437	540.78	0.25733	19.936	0.063746	supercritical
298.00	225.00	10.944	0.091374	9.3800	11.463	54.058	29.870	57.411	560.19	0.22356	20.835	0.066126	supercritical
298.00	240.00	11.503	0.086931	9.2497	11.364	53.270	29.913	57.238	580.06	0.19361	21.720	0.068402	supercritical
298.00	255.00	12.023	0.083177	9.1288	11.278	52.548	29.953	56.965	600.16	0.16715	22.588	0.070584	supercritical
298.00	270.00	12.505	0.079969	9.0167	11.204	51.886	29.991	56.630	620.29	0.14380	23.436	0.072681	supercritical
298.00	285.00	12.954	0.077199	8.9125	11.142	51.275	30.028	56.260	640.34	0.12317	24.263	0.074703	supercritical
